Date,Open,High,Low,Close,Volume
6/15/2023,25071.1,25072.35,24967.4,25007.05,563.63369
6/15/2023,25007.05,25007.05,24945.77,24963.66,534.14546
6/15/2023,24963.65,24989.27,24906,24927.95,722.10147
6/15/2023,24927.94,24962.48,24872.35,24957.04,1000.99861
6/15/2023,24957.05,24999,24944.32,24954.27,524.27766
6/15/2023,24954.26,24993.35,24947.19,24993.35,321.14408
6/15/2023,24993.35,25007.14,24970,24983.8,279.3103
6/15/2023,24983.81,25025,24966.66,25024.8,462.44478
6/15/2023,25024.8,25040.01,25001.67,25040.01,347.71627
6/15/2023,25040,25048,25026.08,25026.09,376.59286
6/15/2023,25026.09,25026.09,24960,24974.26,574.13495
6/15/2023,24974.27,25004.03,24968.02,25003.86,349.20873
6/15/2023,25003.86,25011.75,24927,24944.91,774.28265
6/15/2023,24944.91,24967.94,24900.38,24963.04,642.8118
6/15/2023,24963.04,24981.84,24917,24947.71,580.62815
6/15/2023,24947.71,24969.8,24947.71,24965.18,292.47534
6/15/2023,24965.17,24975.17,24936.81,24958.1,260.54656
6/15/2023,24958.11,24958.11,24892.37,24895.27,400.22656
6/15/2023,24895.27,24932.93,24873.05,24923.51,695.81722
6/15/2023,24923.51,24926.79,24891.67,24893.09,404.39558
6/15/2023,24893.1,24955,24800,24914.73,1170.03421
6/15/2023,24914.73,25031.81,24914.73,25015.39,914.75303
6/15/2023,25015.39,25050,25002.37,25014.97,538.71106
6/15/2023,25014.97,25037.63,24965.38,24977.36,490.09744
6/15/2023,24977.35,25001.12,24935.7,24965.09,538.7975
6/15/2023,24965.08,25003.65,24921.11,24943.34,843.82608
6/15/2023,24943.34,24967.19,24931.77,24954.45,264.11691
6/15/2023,24954.45,25038.89,24940,24985.15,803.48676
6/15/2023,24985.15,25100,24985.14,25069.34,1008.48662
6/15/2023,25069.35,25099.12,25053.14,25094.64,795.39226
6/15/2023,25094.64,25108.54,25050.88,25055.22,564.17972
6/15/2023,25055.22,25079.15,25017,25079.14,729.11575
6/15/2023,25079.14,25079.15,25037.22,25047.88,324.07897
6/15/2023,25047.88,25072.82,25023.58,25060.08,299.97071
6/15/2023,25060.09,25064.64,24992.05,25014.62,307.73065
6/15/2023,25014.62,25033.23,24983.53,25007.72,405.25862
6/15/2023,25007.71,25032.88,24985.01,24985.25,379.61015
